"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Apr 16, 2025 6:02 AM","(-) Expense","175.00","Shopping groceries","Cash","" 
"Apr 17, 2025 7:39 PM","(-) Expense","120.00","Food Takeaway","Cash","groceries " 
"Apr 18, 2025 9:06 PM","(-) Expense","311.00","Food Takeaway","Cash","" 
"Apr 18, 2025 10:07 PM","(-) Expense","164.61","Car","Cash","electric car charge at Varkala" 
"Apr 19, 2025 10:00 PM","(-) Expense","320.00","Food Takeaway","Cash","ice cream, Kovalam" 
"Apr 19, 2025 10:00 PM","(-) Expense","588.00","Food Takeaway","Cash","mandi manzil " 
"Apr 20, 2025 10:17 PM","(-) Expense","470.00","Food Takeaway","Cash","fruits" 
"Apr 20, 2025 10:17 PM","(-) Expense","210.00","Food Takeaway","Cash","fish and groceries " 
"Apr 21, 2025 7:34 PM","(-) Expense","1014.00","Shopping groceries","Cash","groceries " 
"Apr 21, 2025 7:34 PM","(-) Expense","240.00","Food Takeaway","Cash","Chinese box lunch" 
"Apr 22, 2025 10:26 PM","(-) Expense","200.00","Car","Cash","petrol in Espresso" 
"Apr 23, 2025 5:34 PM","(-) Expense","110.00","Food Takeaway","Cash","bakery snack " 
"Apr 24, 2025 5:35 PM","(-) Expense","55.00","Food Takeaway","Cash","snak" 
"Apr 24, 2025 10:17 PM","(-) Expense","308.00","Shopping groceries","Cash","groceries " 
"Apr 25, 2025 1:24 PM","(-) Expense","115.00","Food Takeaway","Cash","mango shake" 
"Apr 25, 2025 6:57 PM","(-) Expense","335.00","Food Takeaway","Cash","altaza" 
"Apr 25, 2025 6:58 PM","(-) Expense","40.00","Shopping groceries","Cash","groceries " 
"Apr 25, 2025 6:58 PM","(-) Expense","15.00","Credit Card EMI","Cash","medical " 
"Apr 25, 2025 6:58 PM","(-) Expense","81.00","Food Takeaway","Cash","" 
"Apr 27, 2025 3:59 AM","(-) Expense","500.00","Food Takeaway","Cash","Briyani and Drinks" 
"Apr 27, 2025 8:04 PM","(-) Expense","378.00","Shopping groceries","Cash","groceries " 
"Apr 28, 2025 7:09 PM","(-) Expense","512.00","Shopping groceries","Cash","groceries " 
"Apr 29, 2025 10:07 PM","(-) Expense","310.00","Food Takeaway","Cash","dinner" 
"Apr 29, 2025 10:08 PM","(-) Expense","31.00","Public Transportation","Cash","bus " 
"Apr 30, 2025 7:32 PM","(-) Expense","20.00","Public Transportation","Cash","" 
"Apr 30, 2025 7:33 PM","(-) Expense","95.00","Food Takeaway","Cash","" 
"Apr 30, 2025 7:33 PM","(-) Expense","1200.00","Home","Cash","for Gas" 
"Apr 30, 2025 7:33 PM","(-) Expense","968.00","Home","Cash","" 
"Apr 30, 2025 7:34 PM","(-) Expense","147.25","Public Transportation","Cash","kailas ticket" 
"May 01, 2025 3:50 PM","(-) Expense","5000.00","Social","Cash","achu" 
"May 01, 2025 7:43 PM","(+) Income","100000.00","Salary","Cash","" 
"May 01, 2025 8:27 PM","(-) Expense","9636.00","Credit Card EMI","Cash","credit card" 
"May 01, 2025 10:17 PM","(-) Expense","13000.00","loan Return","Cash","" 
"May 01, 2025 10:23 PM","(-) Expense","10000.00","Home","Cash","amma and achan" 
"May 02, 2025 7:07 AM","(-) Expense","12200.00","investment","Cash","" 
