id,account_id,category_id,date,amount,type,note,is_recurring,is_split_parent,is_split_child,parent_transaction_id,to_account_id
1,Cash,Groceries,2025-04-16 06:02:00,175,expense,"",false,false,false,,
2,Cash,Groceries,2025-04-17 19:39:00,120,expense,"groceries",false,false,false,,
3,Cash,Online Delivery,2025-04-18 21:06:00,311,expense,"",false,false,false,,
4,Cash,Fuel,2025-04-18 22:07:00,164.61,expense,"electric car charge at Varkala",false,false,false,,
5,Cash,Online Delivery,2025-04-19 22:00:00,320,expense,"ice cream, Kovalam",false,false,false,,
6,Cash,Online Delivery,2025-04-19 22:00:00,588,expense,"mandi manzil",false,false,false,,
7,Cash,Online Delivery,2025-04-20 22:17:00,470,expense,"fruits",false,false,false,,
8,Cash,Groceries,2025-04-20 22:17:00,210,expense,"fish and groceries",false,false,false,,
9,Cash,Groceries,2025-04-21 19:34:00,1014,expense,"groceries",false,false,false,,
10,Cash,Online Delivery,2025-04-21 19:34:00,240,expense,"Chinese box lunch",false,false,false,,
11,Cash,Fuel,2025-04-22 22:26:00,200,expense,"petrol in Espresso",false,false,false,,
12,Cash,Online Delivery,2025-04-23 17:34:00,110,expense,"bakery snack",false,false,false,,
13,Cash,Online Delivery,2025-04-24 17:35:00,55,expense,"snak",false,false,false,,
14,Cash,Groceries,2025-04-24 22:17:00,308,expense,"groceries",false,false,false,,
15,Cash,Online Delivery,2025-04-25 13:24:00,115,expense,"mango shake",false,false,false,,
16,Cash,Online Delivery,2025-04-25 18:57:00,335,expense,"altaza",false,false,false,,
17,Cash,Groceries,2025-04-25 18:58:00,40,expense,"groceries",false,false,false,,
18,Cash,Credit Card EMI,2025-04-25 18:58:00,15,expense,"medical",false,false,false,,
19,Cash,Online Delivery,2025-04-25 18:58:00,81,expense,"",false,false,false,,
20,Cash,Online Delivery,2025-04-27 03:59:00,500,expense,"Briyani and Drinks",false,false,false,,
21,Cash,Groceries,2025-04-27 20:04:00,378,expense,"groceries",false,false,false,,
22,Cash,Groceries,2025-04-28 19:09:00,512,expense,"groceries",false,false,false,,
23,Cash,Online Delivery,2025-04-29 22:07:00,310,expense,"dinner",false,false,false,,
24,Cash,Public Transit,2025-04-29 22:08:00,31,expense,"bus",false,false,false,,
25,Cash,Public Transit,2025-04-30 19:32:00,20,expense,"",false,false,false,,
26,Cash,Online Delivery,2025-04-30 19:33:00,95,expense,"",false,false,false,,
27,Cash,Home,2025-04-30 19:33:00,1200,expense,"for Gas",false,false,false,,
28,Cash,Home,2025-04-30 19:33:00,968,expense,"",false,false,false,,
29,Cash,Public Transit,2025-04-30 19:34:00,147.25,expense,"kailas ticket",false,false,false,,
30,Cash,Social,2025-05-01 15:50:00,5000,expense,"achu",false,false,false,,
31,Cash,Salary,2025-05-01 19:43:00,100000,income,"",false,false,false,,
32,Cash,Credit Card EMI,2025-05-01 20:27:00,9636,expense,"credit card",false,false,false,,
33,Cash,Social,2025-05-01 22:17:00,13000,expense,"",false,false,false,,
34,Cash,Home,2025-05-01 22:23:00,10000,expense,"amma and achan",false,false,false,,
35,Cash,Mutual Funds,2025-05-02 07:07:00,12200,savings,"",false,false,false,,
36,Cash,Credit Card EMI,2025-05-02 07:08:00,3000,expense,"axio",false,false,false,,
37,Cash,Health,2025-05-05 14:45:00,160,expense,"",false,false,false,,
38,Cash,Groceries,2025-05-05 14:47:00,1170,expense,"kunjil hypermarket",false,false,false,,
39,Cash,Online Delivery,2025-05-05 14:48:00,378,expense,"Mandi manzil",false,false,false,,
40,Cash,Groceries,2025-05-06 20:57:00,447,expense,"groceries",false,false,false,,
41,Cash,Health,2025-05-06 20:57:00,170,expense,"medicine",false,false,false,,
42,Cash,Online Delivery,2025-05-06 22:03:00,60,expense,"ehgs",false,false,false,,
43,Cash,Health,2025-05-07 09:26:00,100,expense,"registration renewal",false,false,false,,
44,Cash,Health,2025-05-07 09:35:00,945,expense,"medicine",false,false,false,,
45,Cash,Social,2025-05-07 09:35:00,2000,expense,"lensekart Kailas",false,false,false,,
46,Cash,Social,2025-05-10 07:23:00,20000,expense,"",false,false,false,,
47,Cash,Groceries,2025-05-10 12:00:00,135,expense,"groceries",false,false,false,,
48,Cash,Groceries,2025-05-11 11:58:00,1173,expense,"groceries",false,false,false,,
49,Cash,Online Delivery,2025-05-11 12:00:00,403,expense,"chiken",false,false,false,,
50,Cash,Online Delivery,2025-05-11 12:01:00,165,expense,"fruits",false,false,false,,
51,Cash,Credit Card EMI,2025-05-11 19:15:00,1828,expense,"credits card bills",false,false,false,,
52,Cash,Online Delivery,2025-05-12 22:16:00,270,expense,"",false,false,false,,
53,Cash,Online Delivery,2025-05-12 22:16:00,65,expense,"",false,false,false,,
54,Cash,Public Transit,2025-05-12 22:16:00,15,expense,"",false,false,false,,
55,Cash,Credit Card EMI,2025-05-12 22:16:00,480,expense,"",false,false,false,,
56,Cash,Online Delivery,2025-05-13 22:20:00,70,expense,"",false,false,false,,
57,Cash,Online Delivery,2025-05-14 22:04:00,210,expense,"",false,false,false,,
58,Cash,Online Delivery,2025-05-15 22:00:00,240,expense,"",false,false,false,,
59,Cash,Home,2025-05-17 14:16:00,2000,expense,"to anil chilla",false,false,false,,
60,Cash,Public Transit,2025-05-17 14:17:00,23,expense,"kztm to eastfort",false,false,false,,
61,Cash,Online Delivery,2025-05-18 22:03:00,215,expense,"altaza",false,false,false,,
62,Cash,Groceries,2025-05-18 22:03:00,70,expense,"eggs",false,false,false,,
63,Cash,Groceries,2025-05-18 22:05:00,1502,expense,"cloth stand",false,false,false,,
64,Cash,Online Delivery,2025-05-19 07:21:00,356,expense,"",false,false,false,,
65,Cash,Credit Card EMI,2025-05-19 17:07:00,190,expense,"dtdc thennal bank statemet uber",false,false,false,,
66,Cash,Online Delivery,2025-05-19 17:08:00,30,expense,"",false,false,false,,
67,Cash,Online Delivery,2025-05-22 07:22:00,410,expense,"rasna me and kailas",false,false,false,,
68,Cash,Credit Card EMI,2025-05-23 20:22:00,3700,expense,"thread mill",false,false,false,,
69,Cash,Online Delivery,2025-05-24 19:44:00,140,expense,"",false,false,false,,
70,Cash,Online Delivery,2025-05-24 22:22:00,870,expense,"",false,false,false,,
71,Cash,Online Delivery,2025-05-26 22:21:00,3200,expense,"chilla camp last day food",false,false,false,,
72,Cash,Online Delivery,2025-05-26 22:23:00,40,expense,"juice",false,false,false,,
73,Cash,Online Delivery,2025-05-29 22:20:00,580,expense,"",false,false,false,,
74,Cash,Salary,2025-06-01 15:34:00,100000,income,"",false,false,false,,
75,Cash,Credit Card EMI,2025-06-01 18:26:00,8897,expense,"icici insurance emi",false,false,false,,
76,Cash,Home,2025-06-01 18:33:00,5000,expense,"achan pension",false,false,false,,
77,Cash,Social,2025-06-01 18:37:00,1000,expense,"swaroop",false,false,false,,
78,Cash,Social,2025-06-01 18:37:00,10000,expense,"sagar 20k remaining",false,false,false,,
79,Cash,Social,2025-06-01 18:39:00,5000,expense,"vrinda 15 k more",false,false,false,,
80,Cash,Social,2025-06-01 18:40:00,5000,expense,"arun 15k more",false,false,false,,
81,Cash,Online Delivery,2025-06-01 19:27:00,660,expense,"chines box dinner",false,false,false,,
82,Cash,Home,2025-06-01 20:50:00,5000,expense,"amma pensions",false,false,false,,
83,Cash,Social,2025-06-01 20:53:00,1000,expense,"niranjan 1000",false,false,false,,
84,Cash,Mutual Funds,2025-06-02 13:23:00,12200,savings,"Mutual fund SIP",false,false,false,,
85,Cash,Social,2025-06-02 13:24:00,3052,expense,"axio emi hdfc ergo",false,false,false,,
86,Cash,Online Delivery,2025-06-03 18:16:00,386,expense,"chiken",false,false,false,,
87,Cash,Public Transit,2025-06-04 23:09:00,480,expense,"kuri train ticket",false,false,false,,
88,Cash,Online Delivery,2025-06-04 23:09:00,140,expense,"",false,false,false,,
89,Cash,Public Transit,2025-06-04 23:09:00,110,expense,"imperial kitchen uber auto",false,false,false,,
90,Cash,Groceries,2025-06-06 22:43:00,240,expense,"groceries",false,false,false,,
91,Cash,Online Delivery,2025-06-06 22:43:00,410,expense,"chickens",false,false,false,,
92,Cash,Groceries,2025-06-06 22:44:00,115,expense,"groceries",false,false,false,,
93,Cash,Online Delivery,2025-06-07 22:07:00,690,expense,"chines box",false,false,false,,
94,Cash,Credit Card EMI,2025-06-07 22:07:00,355,expense,"medicine",false,false,false,,
95,Cash,Online Delivery,2025-06-07 22:08:00,170,expense,"snacks",false,false,false,,
96,Cash,Groceries,2025-06-07 22:08:00,161,expense,"groceries",false,false,false,,
97,Cash,Online Delivery,2025-06-09 22:45:00,80,expense,"",false,false,false,,
98,Cash,Social,2025-06-10 08:09:00,20216,expense,"",false,false,false,,
99,Cash,Credit Card EMI,2025-06-12 22:43:00,480,expense,"kerala vision internet",false,false,false,,
100,Cash,Health,2025-06-12 22:43:00,5000,expense,"check up",false,false,false,,
101,Cash,Public Transit,2025-06-12 22:43:00,90,expense,"uber",false,false,false,,
102,Cash,Credit Card EMI,2025-06-12 22:43:00,710,expense,"karuthal website money",false,false,false,,
103,Cash,Online Delivery,2025-06-12 22:44:00,250,expense,"fruits",false,false,false,,
104,Cash,Online Delivery,2025-06-12 22:45:00,325,expense,"berger",false,false,false,,
105,Cash,Groceries,2025-06-13 21:35:00,236,expense,"groceries",false,false,false,,
106,Cash,Online Delivery,2025-06-15 08:33:00,470,expense,"Lunch",false,false,false,,
107,Cash,Groceries,2025-06-16 08:33:00,110,expense,"varkala essentials",false,false,false,,
108,Cash,Online Delivery,2025-06-17 21:32:00,711,expense,"",false,false,false,,
109,Cash,Other Income,2025-06-17 21:33:00,5000,income,"insurance",false,false,false,,
110,Cash,Online Delivery,2025-06-20 11:08:00,25,expense,"lime juice",false,false,false,,
111,Cash,Health,2025-06-20 11:08:00,160,expense,"consultation SRK",false,false,false,,
112,Cash,Health,2025-06-20 11:09:00,527,expense,"medicne udilive for liver",false,false,false,,
113,Cash,Online Delivery,2025-06-20 13:49:00,185,expense,"altaza",false,false,false,,
114,Cash,Online Delivery,2025-06-21 13:50:00,110,expense,"kariak shake",false,false,false,,
115,Cash,Groceries,2025-06-22 13:48:00,151,expense,"groceries",false,false,false,,
116,Cash,Online Delivery,2025-06-22 15:18:00,151,expense,"karikk",false,false,false,,
117,Cash,Online Delivery,2025-06-23 11:54:00,30,expense,"",false,false,false,,
118,Cash,Public Transit,2025-06-23 11:54:00,90,expense,"",false,false,false,,
119,Cash,Online Delivery,2025-06-23 11:55:00,170,expense,"",false,false,false,,
120,Cash,Public Transit,2025-06-24 11:56:00,165,expense,"",false,false,false,,
121,Cash,Online Delivery,2025-06-24 11:56:00,289,expense,"",false,false,false,,
122,Cash,Online Delivery,2025-06-24 11:57:00,342,expense,"",false,false,false,,
123,Cash,Online Delivery,2025-06-25 11:57:00,426,expense,"",false,false,false,,
124,Cash,Online Delivery,2025-06-25 11:57:00,416,expense,"",false,false,false,,
125,Cash,Online Delivery,2025-06-26 11:58:00,491,expense,"",false,false,false,,
